X,Y,Z,Position
0.04,0.03,9.81,Resting
0.03,0.04,9.81,Resting
0.02,0.04,9.83,Resting
0.05,0.02,9.81,Resting
0.04,0.01,9.81,Resting
0.05,0.01,9.8,Resting
0.05,0.03,9.81,Resting
0.05,0.04,9.8,Resting
0.04,0.03,9.8,Resting
0.04,0.04,9.79,Resting
0.05,0.02,9.81,Resting
0.04,0.02,9.8,Resting
0.05,0.02,9.82,Resting
0.04,0.03,9.81,Resting
0.03,0.02,9.79,Resting
0.04,0.02,9.82,Resting
0.03,0.02,9.81,Resting
0.03,0.03,9.81,Resting
0.04,0.02,9.82,Resting
0.04,0.02,9.81,Resting
0.04,0.03,9.83,Resting
0.05,0.03,9.82,Resting
0.03,0.05,9.82,Resting
0.04,0.03,9.82,Resting
0.03,0.02,9.83,Resting
0.04,0.01,9.83,Resting
0.05,0.04,9.82,Resting
0.04,0.03,9.83,Resting
0.03,0.03,9.84,Resting
0.03,0.01,9.82,Resting
0.03,0.02,9.81,Resting
0.02,0.03,9.83,Resting
0.03,0.02,9.81,Resting
0.02,0.03,9.83,Resting
0.01,0.04,9.81,Resting
0.03,0.03,9.81,Resting
0.02,0.01,9.8,Resting
0.04,0.02,9.83,Resting
0.05,0.01,9.82,Resting
0.04,0.04,9.82,Resting
0.04,0.04,9.82,Resting
0.03,0.04,9.8,Resting
0.01,0.05,9.82,Resting
0.01,0.05,9.82,Resting
0.01,0.03,9.82,Resting
0.03,0.01,9.81,Resting
0.05,0.01,9.82,Resting
0.04,0.02,9.82,Resting
0.04,0.02,9.83,Resting
0.04,0.01,9.82,Resting
0.04,0.03,9.8,Resting
0.04,0.05,9.82,Resting
0.03,0.04,9.82,Resting
0.02,0.02,9.81,Resting
0.03,0.03,9.82,Resting
0.03,0.03,9.82,Resting
0.04,0.02,9.81,Resting
0.05,0.02,9.82,Resting
0.05,0.02,9.8,Resting
0.01,0.02,9.79,Resting
0.01,0.02,9.81,Resting
0.02,0.04,9.82,Resting
0.05,0.04,9.81,Resting
0.05,0.03,9.82,Resting
0.05,0.02,9.82,Resting
0.05,0.02,9.82,Resting
0.03,0.01,9.82,Resting
0.01,0.02,9.82,Resting
0.01,0.04,9.82,Resting
0.01,0.04,9.81,Resting
0.01,0.04,9.83,Resting
0.03,0.02,9.81,Resting
0.04,0.03,9.83,Resting
0.04,0.04,9.83,Resting
0.03,0.04,9.82,Resting
0.03,0.04,9.81,Resting
0.02,0.03,9.82,Resting
0.02,0.03,9.81,Resting
0.03,0.04,9.83,Resting
0.04,0.04,9.82,Resting
0.03,0.02,9.82,Resting
0.02,0.04,9.83,Resting
0.03,0.05,9.82,Resting
0.04,0.03,9.82,Resting
0.05,0,9.83,Resting
0.05,0.03,9.83,Resting
0.04,0.03,9.82,Resting
0.03,0.03,9.81,Resting
0.05,0.02,9.8,Resting
0.04,0.01,9.81,Resting
0.02,0.02,9.81,Resting
0.02,0.03,9.81,Resting
0.03,0.04,9.83,Resting
0.02,0.05,9.82,Resting
0.03,0.04,9.81,Resting
0.05,0.04,9.82,Resting
0.05,0.02,9.82,Resting
0.04,0.02,9.82,Resting
0.04,0.02,9.81,Resting
0.02,0.04,9.82,Resting
0.02,0.05,9.82,Resting
0.02,0.04,9.82,Resting
0.04,0.04,9.81,Resting
0.05,0.05,9.81,Resting
0.02,0.05,9.81,Resting
0.03,0.04,9.82,Resting
0.04,0.04,9.81,Resting
0.03,0.03,9.82,Resting
0.04,0.02,9.83,Resting
0.04,0.04,9.81,Resting
0.04,0.03,9.82,Resting
0.03,0.03,9.82,Resting
0.03,0.03,9.83,Resting
0.03,0.03,9.82,Resting
0.03,0.03,9.81,Resting
0.03,0.02,9.82,Resting
0.04,0.03,9.83,Resting
0.04,0.04,9.82,Resting
0.04,0.04,9.83,Resting
0.05,0.01,9.83,Resting
0.03,0.02,9.82,Resting
0.03,0.01,9.83,Resting
0.03,0.03,9.81,Resting
0.03,0.03,9.82,Resting
0.03,0.03,9.82,Resting
0.02,0.04,9.82,Resting
0.02,0.04,9.81,Resting
0.01,0.03,9.82,Resting
0.02,0.01,9.82,Resting
0,0.02,9.82,Resting
0.04,0.02,9.83,Resting
0.04,0.05,9.82,Resting
0.03,0.04,9.81,Resting
0.03,0.04,9.82,Resting
0.05,0.03,9.82,Resting
0.04,0.03,9.81,Resting
0.04,0.04,9.82,Resting
0.04,0.01,9.82,Resting
0.05,0.03,9.82,Resting
0.03,0.04,9.79,Resting
0.05,0.02,9.82,Resting
0.04,0.03,9.81,Resting
0.03,0.03,9.81,Resting
0.03,0.02,9.83,Resting
0.04,0.03,9.79,Resting
0.05,0.01,9.82,Resting
0.05,0.02,9.81,Resting
0.04,0.03,9.81,Resting
0.03,0.04,9.83,Resting
0.02,0.04,9.83,Resting
0.03,0.04,9.82,Resting
0.04,0.01,9.82,Resting
0.05,0.02,9.81,Resting
0.04,0.03,9.82,Resting
0.03,0.04,9.83,Resting
0.02,0.02,9.81,Resting
0.01,0.02,9.82,Resting
0,0.02,9.85,Resting
0.05,0.03,9.8,Resting
0.05,0.02,9.82,Resting
0.04,0.03,9.8,Resting
0.04,0.03,9.82,Resting
0.03,0.04,9.82,Resting
0.03,0.04,9.82,Resting
0.03,0.04,9.82,Resting
0.04,0.05,9.79,Resting
0.04,0.02,9.81,Resting
0.04,0.01,9.81,Resting
0.04,0.01,9.81,Resting
0.04,0.01,9.81,Resting
0.04,0.02,9.8,Resting
0.04,0.04,9.82,Resting
0.04,0.04,9.82,Resting
0.04,0.04,9.82,Resting
0.04,0.04,9.82,Resting
0.05,0.03,9.79,Resting
0.05,0.03,9.82,Resting
0.05,0.04,9.81,Resting
0.05,0.04,9.81,Resting
0.03,0.04,9.81,Resting
0.03,0.04,9.8,Resting
0.03,0.03,9.82,Resting
0.03,0.03,9.8,Resting
0.03,0.02,9.82,Resting
0.04,0.03,9.82,Resting
0.04,0.03,9.82,Resting
0.04,0.04,9.79,Resting
0.03,0.03,9.82,Resting
0.03,0.04,9.82,Resting
0.03,0.03,9.81,Resting
0.04,0.04,9.81,Resting
0.01,0.05,9.83,Resting
0.04,0.02,9.82,Resting
0.02,0.03,9.82,Resting
0.04,0.04,9.82,Resting
0.04,0.04,9.83,Resting
0.04,0.02,9.81,Resting
0.05,0.03,9.8,Resting
0.04,0.02,9.81,Resting
0.02,0.02,9.82,Resting
0.02,0.02,9.81,Resting
0.04,0.03,9.82,Resting
0.04,0.04,9.8,Resting
0.04,0.04,9.8,Resting
0.04,0.04,9.81,Resting
0.04,0.02,9.81,Resting
0.04,0.02,9.81,Resting
0.03,0.02,9.8,Resting
0.04,0.02,9.8,Resting
0.04,0.02,9.81,Resting
